ï»¿question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
1,××¤×¨× ××× ×,×× ××× ××××£ ××××¡×× ×××¦××¨ ×××××ª?,××××××ª ××ª××××¨×,×××£ ×××¢× ××,××××¡× ×××× ××× ×××× ×ª×§×× ×,×× ×××¨× ××××¦××¨ ××¨××××,C
2,××¤×¨× ××× ×,××× ××××××ª ××××××ª × ××××× ××© ××¡×¤×¨ ×¡××××¨×?,××,××,×× ××××,××× ×××××ª ××© ××¡×¤×¨ ×¡××××¨× ×ª××ª ×××××¨××,D
3,××¤×¨× ××× ×,×× ××©×× ×××¢×ª ××××¦××¨ ×××××ª ××××××ª ××××´×¡?,××©×§× ×¡×××× ××¡×× ×××××¨ ××××× ×××××× ×§×××¦× ×©×××,×××××ª ××× ×× ××©××××ª,×××××ª ××××©×¨×ª ×ª××× ×××¡×,×©××××¢× ××× ××× ××,A
4,××¤×¨× ××× ×,×××× ×××× ××ª×× ×¢×××¡ ×¢× ××¡×¨× ××?,××¨××©××× ××¨××,"××¨××©××× ××¨××, ××××©××¨ ×××× ×××, ×××¢××× ×××××ª ×××××",××× ×¦××¨× ×©×××× ××ª××,×× ××¢××××ª ×××ª× ××©×§× ××©×××ª,B
5,××¤×¨× ××× ×,××× ×××¨××§ ×¡×¨× ×× ××© ××©××××ª?,××,××,×× ××¡×¨× ×× ×××ª× ××××¨,××. ××¨××§ ×¡×¨× ×× ×××× ××ª××× ××××¢× × × ××,D
6,××¤×¨× ××× ×,××× ×©×× × ××©×××ª ××××´×¡ ×××©×××ª ×¨××××?,××× ×©×× × ××× ×××,××©×× × ××× ××¢×××ª ××¢××× ×× ××¨××,×¨×× ××××××ª ××××´×¡ ××××× ×-ADR,××©×× × ××× ××¡×¨× ×××××¨×,C
7,××¤×¨× ××× ×,× ×ª×× ××××××ª × ××××× - ××× ×××× ×××××§×ª ××¢×××?,×× ××××,"×× ××××, ×××××××ª ×¨××©××× ××××××",××× ×××× ××¢××××ª ×©× ×¢××ª 10 ×©× ×× ×××××©,×¢××× ×××©× ×× ×©× ×ª×××. ×¢××× ××©× × ×× ×©× ×.,D
8,××¤×¨× ××× ×,×× ××× ×©× ×¨×× ×××× × ×× ×××××© ×¨××©××× × ××××××ª ××××´×¡?,15 ×©× × ×× ×××××© ××××ª×¨ ××××××ª ××××´×¡,××× ××××× ××××§,××¨×× ××××©×¨ ×¢× ××§× ×ª×,10 ×©× ×× ××××§×× ×-15 ×©× × ×××××¦×,A
9,××¤×¨× ××× ×,×× ××©×× × ××× ××× × ×¨×× ××××××ª ×××§ ×××× ×¨×× ×©××××× ××××¦×?,××©×× × ×××¨××× ×××©×¡×ª×××× ××××× × ××××××ª ×××¢×× ××××××ª ×××ª×× ××¡×× ×× ×××,"××× ×©×× ×, ×× ×××××××ª ×¢×××××ª","××× ×©×× ×, ×× ×××××××ª ×××××××ª ×××",×× ××© ×©×× × ××¡×× ××¨××©×××,A
10,××¤×¨× ××× ×,×× ××ª××× ××ª ××××¤××× ×××ª ××××¢× ×× × ××××××?,"×ª××× ×ª ×× ××× ××©×ª× ×. ××¨×× ×× ××¦×× ××¡××××××, ××¨××§ ×××××× ××©×ª× × ×××× × ××× ××××§× ××ª×××. × ××¦×¨ ××©×× ×¡×××.",××× ×× ×ª××× × ×××¤××× ××ª ,××© ×× ××¨×× ×ª××× ××ª,×× ××× ×× ××©×¤××¢ ××× ×¢× ×××¨××,A
11,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ×××××× ××××¢ ××¡×××× ×× ×ª×¢×¡××§×ª×××?,×××××× ××××¢ ××× ×××××× ××©×¨ ×××××¢ ×¢× ××××ª ×¢×××¨××ª ××ª× ××¢,×××××× ××××¢ ××× ××××¢ ×¨×¤××× ××¨××¤×,×××××× ××××¢ ××× ××××¢ ×¨×¤××× ×××××ª, ×××××× ××××¢ ××× ××××¢ ××××¨ ××¡×××× ×× ××ª×¢×¡××§×ª××× ×××§×¦××¢,D
12,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ××¡×××× ×× ××¢××§×¨××× ××¢××¡××§ ×× ××××?,"×ª××× ××ª ××¨×××, ×ª××§×× × ×¨×× ×××¨×, ××××××ª ×¤××××ª, ××××× ×¢×§× ××©××× ××××©××ª","×ª××× × ××××ª ××××¨, ×ª××§×× × ×¨××, ××××××ª ×¤××××ª, ××××× ×¢×§× ××©××× ××××©××ª","××××××ª ×¤××××ª, ××××× ×¢×§× ××©××× ××××©××ª, ××××¤×ª ×××¢× ×××¨×, ×ª××× ××ª ××¨××× ×§×××ª","××××¤×ª ×××¢× ×××¨×, ×ª××§×× × ×¨×× ×××¨×, ××××××ª ×¤××××ª, ××××× ×¢×§× ××©××× ××××©××ª",A
13,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,×××¨ ××ª ×××©×¤× ×× ××× ××××××,"××¨××× ×××× ×¢××¡×§×ª - ×××©××× × ××× ×, ××××¡× ×× ××, ××¡×× ××¨××","××¨××× ×××× ×¢××¡×§×ª - ××¡×× ××¨××, ××××¡× ×× ××, ×× ××","××¨××× ×××× ×¢××¡×§×ª - ×× ××, ××¡×× ××¨××, ××¡××××","××¨××× ×××× ×¢××¡×§×ª - ×× ××, ××××¡×, ××¡××××",C
14,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ××¡×××× ×× ××¤××××§×××× ×× ××××?,"××©××¤× ××¨×¢×©, ×§×¨×× ×, ×¨×¢××××ª, ×××§","××©××¤× ××¨×¢×©, ×§×¨×× ×, ×¨×¢××××ª, ×©×× ×××× ×¤×ª××××××","××©××¤× ××¨×¢×©, ×§×¨×× ×, ×¨×¢××××ª, ×××××","××©××¤× ××¨×¢×©, ×§×¨×× ×, ×¨×¢××××ª, ×××× ××",B
15,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ××¡×××× ×× ××××××× ×× ××××?,"××©××¤× ××××§, ××××¨×× ××××××, × ××××× ××¨××, ××× ×× ××× ×× ×¡×××¨","××©××¤× ××¨×¢×©, ×××§, ××××¨×× ××××××, ××× ×× ××× ×× ×¡×××¨","××©××¤× ××××××, ×××§, ××××¨×× ××××××Ö¿ ××× ×× ××× ×× ×¡×××¨","××©××¤× ××××× ××, ×××§, ××××¨×× ××××××, ××× ×× ××× ×× ×¡×××¨",A
16,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,×××××× ××××¢ ××¡×××× ×ª×¢×¡××§×ª× ××××¢×?,×¨××¤××× ××××××ª ×ª×¢×¡××§×ª×,×××× × ××××××ª ××¢××××,×§×¦×× ×××××ª ××¢××××,×× ××ª×©××××ª × ××× ××ª,D
17,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ×××××¨× ××´×¨×× ××¡××¨××´?,×¨×× ×××× ×¢ ×××× ××× × ××× ×¦××¨× ×©×××,×¨×× ×©×¦××× ×¢×××× ×××¨×× ×¢××× ××××¤× ×§×××¢,×¨×× ×××©××© ×× ××××¢× ××©××© ××××××ª ××©×,×¨×× ×× ××¢× ×©×××ª×§× ××ª ×¢××× ××¢×¨×××ª ×× ×××× ×¢×¦×××ª,C
18,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ×¡×××× ×× ×ª×¢×¡××§×ª××× ×× ×× ×¨×× ×××?,×¡×××× ×× ××§×©××¨×× ×××××¨×× ××××××,×¡×××× ×× ××§×©××¨×× ×××¢×××ª ×¤××××§××××ª,×¡×××× ×× ××§×©××¨×× ×××¢×××ª ××¨××× ×××××ª,×× ××ª×©××××ª × ××× ××ª,D
19,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ×××¨× ×¡××××?,××¦× ×× ×¤×¢××× ××©×¨ ××© ×¤××× ×¦××× ×××¨×××ª ×¤×××¢× ×× ×××× ××××,××¦× ×× ×¤×¢××× ××©×¨ ×× ×× ×××¦×¢ ××× ××§×¨× ××××,××¦× ×× ×¤×¢××× ××©×¨ ×× ×× ×××¦×¢ ××× ××¡×¢ ×©×××ª× ×××¤××¢,××£ ×ª×©××× ××× × × ××× ×,A
20,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××× ××¤××¢?,××¦× ×©×× ×× ×× ×××¦×¢ ×××××ª ×××¨××,××¦× ×©×× ×× ×× ×××¨×× ××ª××× ×,××¦× ×× ×××©×× ×§××× ××××¨×× ××¤×××¢× ×××¨××××ª ×××× ×× ×××§ ××¨×××© ×× ××¡××××,××£ ×ª×©××× ××× × × ××× ×,C
21,×¡×××× ×× ×ª×¢×¡××§×ª××× ×××©××¨××ª ×¨×¤××××ª,××ª× ×× × ××× ×× ××× ××¨××?,×××©×¨ ×× ×× ×ª××ª ××©×§×××ª ××©××¨××,×× ××ª×©××××ª × ××× ××ª,×××©×¨ ×× ×× ×ª××ª ××××©× ×× ×××§×× ×××¤× ×,×××©×¨ ×× ×× ×××¦× ××©××× ××× × ××ª ××©×××× ××¨××,B
22,×××××ª ×××××××ª,××× ××× ××¢××¨ ×××¢×× ×× ×××× ×¦×× ×¨××?,×¡×¨×× ××××,××× ×¢××××,××¨×× ×××× ××§×¦××¢×,×××©× ×××× ×¢××¨ ×××¦××ª ×¨×××× (XL ××××××),D
23,×××××ª ×××××××ª,××× ×××××ª × ×××××ª ××ª××¨××ª?,×× ,××,"××, ×××××ª ××ª××¨××ª ×××¨××× ×××§××××ª ××××¨××",×ª××¨××ª ×× ×× ××¢× ×××,C
24,×××××ª ×××××××ª,××× ××××××ª ××× ×©××§×× ×××¨?,××,×× ,××××××ª ×§××××ª ××× ×©××§×× ×××¨,××××××ª ×× ××©××,C
