question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
1,מפרט טכני,מי הוא הגוף המוסמך ליצור מכלית?,מכללות לתחבורה,אגף מטענים,המוסד לטכניון כולל תקינה,כל חברה לייצור ארגזים,C
2,מפרט טכני,האם למכלית להובלת נוזלים יש מספר סידורי?,כן,לא,לא חובה,לכל מכלית יש מספר סידורי תלת דטגוריה,D
3,מפרט טכני,מה חשוב לדעת בייצור מכלית להובלת חומ״ס?,משקל סגולי וסוג החומר המובל ולאיזה קבוצה שייך,מכלית אין לה חשיבות,מכלית מאושרת תמיד בטסט,שהמטען הוא דינמי,A
4,מפרט טכני,היכן יהיה כתוב עומס על הסרנים?,ברישיון הרכב,"ברישיון הרכב, באישור הטכניון, ובעגלה לוחית זיהוי",אין צורך שיהיה כתוב,כל העגלות אותן משקל משאות,B
5,מפרט טכני,האם למרחק סרנים יש חשיבות?,כן,לא,כל הסרנים אותו הדבר,כן. מרחק סרנים גדול מתאים למטעני נםח,D
6,מפרט טכני,במה שונה משאית חומ״ס ממשאית רגילה?,אין שוני ביניהם,השוני הוא בעלות העגלה או הרכב,רכב להובלת חומ״ס מוחיב ב-ADR,השוני הוא בסרן האחורי,C
7,מפרט טכני,נתמך להובלת נוזלים - האם חייב בבדיקת מעבדה?,לא חייב,"כן חייב, ובהגבלת רישיון המוביל",איו חיוב בעגלות שנעות 10 שנים בכביש,עגלה חדשה כל שנתיים. עגלה ישנה כל שנה.,D
8,מפרט טכני,מה גיל של רכב בגינו לא יחודש רישיונו להובלת חומ״ס?,15 שנה לא יחודש ההיתר להובלת חומ״ס,אין הגבלה בחוק,הרכב מאושר עד זקנתו,10 שנים לדלקים ו-15 שנה לחומצה,A
9,מפרט טכני,מה השוני בין מבנה רכב להובלת דלק לבין רכב שמוביל חומצה?,השוני בברזים ובשסתומים ובמבנה המכלית מטעמי בטיחות בהתאם לסוג הנוזל,"אין שוני, כל המכליות עגולות","אין שוני, כל המכליות מובילות מים",כן יש שוני בסוג הרישיון,A
10,מפרט טכני,מה התכונות האופייניות למטענים נוזליים?,"תכונת הנוזל משתנה. הרכב לא יציב בסיבובים, מרחק הבלימה משתנה ולכן נהוג לחלקו לתאים. נוצר חשמל סטטי.",אין לו תכונה אופיינית ,יש לו הרבה תכונות,הנוזל לא משפיע כלל על המרכב,A
